id,edadEmprendedor,sexoEmprendedor,escolaridadEmprendedor,dependientesEconomicos,estadoCivil,familiaAyuda,antiguedadNegocio,horaApertura,horaCierre,giroNegocio,numEmpleados,ventasPromedioDiarias,deseoNegocio,registroVentas,registroContabilidad,altaSAT,usaCredito,tiempoCreditoProveedores,promocionNegocio,latitud,longitud,CategoríaDeseo,,Respuesta Original,Categoría
E00000044,66,M,bachillerato trunco,0,casado,TRUE,10,7,22,comercio minorista de productos terminados,0,12000,empleado comprometido,en un sistema especial,en un sistema especial,s,FALSE,una semana,publicidad exterior,19.60335122,-99.22296069,Operación y Personal,,proveedor,Inversión y Producto
E00000045,33,H,universidad trunca,1,union libre,TRUE,1,11,21,farmacia,2,400,economia negocio,en un cuaderno,en excel,s,FALSE,no me dan crédito,redes sociales (sin pagar),19.60241078,-99.22812531,Gestión y Estabilidad,,producto,Inversión y Producto
E00000046,34,M,universidad trunca,1,soltero,TRUE,2,9,18,"servicios  personales(estéticas, spa, uñas, barberías, etc)",1,500,cliente,en excel,en excel,n,FALSE,un mes,redes sociales (sin pagar),19.58650751,-99.22934548,Clientes y Promoción,,productividad,Operación y Personal
E00000047,47,M,universidad terminado,3,union libre,FALSE,7,9,18,planchaduría,1,0,prosperidad continuar,en un cuaderno,en un cuaderno,s,FALSE,no me dan crédito,publicidad exterior|redes sociales (sin pagar),19.59697809,-99.19087194,Gestión y Estabilidad,,numero venta cliente,Ventas e Ingresos
E00000048,52,M,universidad terminado,0,divorciado,TRUE,14,8,20,comercio minorista de productos terminados,0,4000,clientela,en excel,en excel,s,FALSE,una semana,redes sociales (sin pagar),19.58117157,-99.23047824,Clientes y Promoción,,mejorar el,Gestión y Estabilidad
E00000049,57,M,bachillerato terminado,0,casado,FALSE,4,11,18,fonda o restaurante/alimentos,1,,venta trabajo,no registro,no registro,n,FALSE,no me dan crédito,redes sociales (sin pagar),19.58712922,-99.22258365,Ventas e Ingresos,,mejor venta,Ventas e Ingresos
E00000050,44,M,bachillerato trunco,0,divorciado,TRUE,23,12,20,"servicios  personales(estéticas, spa, uñas, barberías, etc)",1,300,renovacion local,en un cuaderno,en un cuaderno,n,TRUE,más de un mes,redes sociales (sin pagar),19.58586936,-99.22940573,Expansión y Estructura,,mejor instalacion cantidad cliente,Expansión y Estructura
E00000051,59,H,primaria,1,union libre,FALSE,11,9,18,lonas y reparación,0,300,crecimiento economico,no registro,no registro,n,TRUE,más de un mes,otro,19.6053744,-99.23617946,Gestión y Estabilidad,,mejor instalacion,Expansión y Estructura
E00000052,59,M,primaria,0,casado,FALSE,2,7,21,comercio minorista de materias primas,0,1500,prosperidad,en excel,en excel,n,FALSE,no me dan crédito,otro,19.59394285,-99.26012377,Gestión y Estabilidad,,haber venta,Ventas e Ingresos
E00000053,38,M,bachillerato trunco,2,casado,FALSE,14,12,19,"servicios  personales(estéticas, spa, uñas, barberías, etc)",0,500,remodelacion ampliacion,en un cuaderno,en un cuaderno,n,FALSE,no me dan crédito,otro,19.57904434,-99.2388732,Expansión y Estructura,,establecido,Gestión y Estabilidad
E00000054,38,H,bachillerato terminado,3,casado,TRUE,10,8,18,fonda o restaurante/alimentos,0,2000,mayor venta,no registro,no registro,n,TRUE,una semana,otro,19.56478213,-99.23368412,Ventas e Ingresos,,crecimiento venta,Ventas e Ingresos
E00000055,45,M,secundaria,2,divorciado,TRUE,5,8,20,comercio minorista de productos terminados,0,2000,prosperidad,en excel,en excel,n,FALSE,no contesto,otro,19.62211384,-99.24436446,Gestión y Estabilidad,,comentario,Clientes y Promoción
E00000056,49,H,bachillerato terminado,2,casado,TRUE,22,8,18,"servicios para el hogar (cerrajería, plomería, jardinería, etc)",4,3000,prosperidad,en un cuaderno,en excel,s,TRUE,un mes,otro,19.5784876,-99.25250243,Gestión y Estabilidad,,capital invertir,Inversión y Producto
E00000057,47,H,bachillerato trunco,5,soltero,TRUE,10,6,18,fonda o restaurante/alimentos,1,3000,prosperidad mejor venta,en un cuaderno,en un cuaderno,n,FALSE,no contesto,otro,19.58208847,-99.21553984,Ventas e Ingresos,,aumentar ganancia,Ventas e Ingresos
E00000058,43,H,secundaria,5,soltero,TRUE,15,7,18,fonda o restaurante/alimentos,0,1500,mejor venta,en un cuaderno,en un cuaderno,n,FALSE,no contesto,redes sociales (sin pagar),19.59891155,-99.23745954,Ventas e Ingresos,,atraer cliente,Clientes y Promoción
E00000059,39,M,secundaria,1,casado,FALSE,6,8,19,planchaduría,2,1000,trabajo,no registro,no registro,n,FALSE,no contesto,otro,19.59707073,-99.24321438,Operación y Personal,,ampliar negocio sucursal,Expansión y Estructura
E00000060,45,H,universidad terminado,3,casado,TRUE,7,9,19,comercio minorista de productos terminados,0,1000,cliente,en un cuaderno,en un cuaderno,s,FALSE,no contesto,redes sociales (sin pagar),19.60198755,-99.23056206,Clientes y Promoción,,ampliacion negocio,Expansión y Estructura
E00000061,47,M,bachillerato terminado,3,soltero,FALSE,5,8,21,comercio minorista de productos terminados,2,1800,prosperidad clientela,no registro,en excel,s,FALSE,no contesto,publicidad exterior,19.59847482,-99.24200889,Clientes y Promoción,,abrir local,Expansión y Estructura
E00000062,52,H,bachillerato terminado,3,casado,FALSE,40,7,8,comercio minorista de productos terminados,2,15000,incrementar venta,no registro,en un sistema especial,s,FALSE,dos semanas,otro,19.37251889,-99.16713298,Ventas e Ingresos,,volver patron,Operación y Personal
E00000063,75,M,universidad terminado,0,casado,FALSE,10,11,19,librería,1,4000,lector,en un cuaderno,en un cuaderno,s,FALSE,no me dan crédito,publicidad exterior|redes sociales (sin pagar)|otro,19.38514538,-99.16621815,Operación y Personal,,ventas,Ventas e Ingresos
E00000064,52,M,universidad terminado,0,casado,TRUE,10,8,20,papelería,1,,,en un sistema especial,en un sistema especial,s,FALSE,no me dan crédito,publicidad exterior,19.34452439,-99.16101749,,,ventar servicio,Ventas e Ingresos
E00000065,56,M,secundaria,2,casado,FALSE,30,11,18,"consultorios médicos, dentales, veterinarios",4,600,venta,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.40640925,-99.07705301,Ventas e Ingresos,,venta trabajo,Ventas e Ingresos
E00000066,54,M,secundaria,6,divorciado,FALSE,0.3,8,16,comercio minorista de productos terminados,5,1100,venta,en un cuaderno,en un cuaderno,s,FALSE,no me dan crédito,publicidad exterior,19.41290108,-99.05556666,Ventas e Ingresos,,venta surtido,Ventas e Ingresos
E00000067,37,M,universidad terminado,3,soltero,TRUE,7,12,6,comercio minorista de productos terminados,2,500,abrir local,no registro,no registro,n,FALSE,no me dan crédito,redes sociales (sin pagar),19.4257593,-99.08358604,Expansión y Estructura,,venta producto nacional,Inversión y Producto
E00000068,37,M,universidad terminado,3,soltero,TRUE,7,11,6,comercio minorista de productos terminados,1,400,venta,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.40735463,-99.10455417,Ventas e Ingresos,,venta negocio escuela esime ipn,Ventas e Ingresos
E00000069,76,M,secundaria,2,casado,FALSE,30,11,18,comercio minorista de productos terminados,1,400,venta,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.40420486,-99.08301439,Ventas e Ingresos,,venta negocio,Ventas e Ingresos
E00000070,27,H,universidad terminado,5,soltero,TRUE,40,11,18,comercio minorista de productos terminados,3,200,venta,en un cuaderno,no registro,n,FALSE,no me dan crédito,redes sociales (sin pagar),19.45135346,-99.08476378,Ventas e Ingresos,,venta generar ingreso,Ventas e Ingresos
E00000071,27,H,universidad terminado,5,soltero,TRUE,40,11,18,comercio minorista de productos terminados,3,200,venta,en un cuaderno,en un cuaderno,n,FALSE,no me dan crédito,redes sociales (sin pagar),19.43439881,-99.090499,Ventas e Ingresos,,venta constante,Ventas e Ingresos
E00000072,50,M,bachillerato terminado,4,casado,TRUE,13,9,19,cafe internet,1,350,exito,en un cuaderno,en excel,n,FALSE,no me dan crédito,redes sociales (sin pagar),19.41177308,-99.09300092,Gestión y Estabilidad,,venta cliente,Ventas e Ingresos
E00000073,43,M,universidad terminado,3,soltero,FALSE,4,11,19,"consultorios médicos, dentales, veterinarios",1,500,venta,en un cuaderno,en un cuaderno,n,TRUE,no me dan crédito,publicidad exterior,19.41910619,-99.07900278,Ventas e Ingresos,,vender tipo producto,Inversión y Producto
E00000074,46,H,universidad terminado,2,soltero,FALSE,6,11,18,comercio minorista de productos terminados,1,200,venta,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.41505737,-99.07038623,Ventas e Ingresos,,vender hechar perder,Operación y Personal
E00000075,61,H,primaria,2,casado,TRUE,20,8,18,comercio minorista de materias primas,1,300,venta,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.41352247,-99.08539685,Ventas e Ingresos,,vender el,Ventas e Ingresos
E00000076,35,H,secundaria,2,soltero,FALSE,10,8,18,comercio minorista de materias primas,1,1000,venta,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.40869208,-99.08710803,Ventas e Ingresos,,vender crecer,Expansión y Estructura
E00000077,55,H,secundaria,2,soltero,FALSE,50,8,18,comercio minorista de productos terminados,1,200,venta,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.42895774,-99.08126612,Ventas e Ingresos,,vender cliente,Ventas e Ingresos
E00000078,42,H,posgrado,4,soltero,FALSE,18,9,20,fonda o restaurante/alimentos,3,4000,venta,en un cuaderno,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.40733764,-99.07434555,Ventas e Ingresos,,vender asegurar patrimonio hijo,Gestión y Estabilidad
E00000079,53,H,bachillerato terminado,9,casado,TRUE,54,8,17,fonda o restaurante/alimentos,5,5000,venta,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.41091696,-99.07677859,Ventas e Ingresos,,vender articulo,Inversión y Producto
E00000080,30,H,bachillerato terminado,5,soltero,TRUE,35,10,21,fonda o restaurante/alimentos,3,2000,venta,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.40198598,-99.09052303,Ventas e Ingresos,,variedad producto,Inversión y Producto
E00000081,71,M,primaria,5,soltero,TRUE,10,9,22,comercio minorista de productos terminados,2,2500,venta,en un cuaderno,no registro,s,FALSE,no me dan crédito,publicidad exterior,19.44845675,-99.08673865,Ventas e Ingresos,,variedad mercancia diversificar linea zapato,Inversión y Producto
E00000082,50,H,universidad terminado,4,soltero,FALSE,20,9,17,frenos,1,700,empleado,no registro,no registro,s,FALSE,no me dan crédito,redes sociales (sin pagar),19.41337936,-99.06092912,Operación y Personal,,variedad mercancia,Inversión y Producto
E00000083,81,H,bachillerato trunco,1,casado,FALSE,4,9,17,escuela de manejo,1,300,trabajar,en un cuaderno,no registro,s,FALSE,no me dan crédito,redes sociales (sin pagar),19.42456425,-99.10818461,Operación y Personal,,tumbar locar alado salon,Expansión y Estructura
E00000084,40,H,secundaria,2,soltero,TRUE,50,9,17,vulcanizadora,2,1500,local,en un cuaderno,no registro,s,FALSE,no me dan crédito,publicidad exterior,19.41123664,-99.08570244,Expansión y Estructura,,trabajo subir ultimamente bajo venta,Ventas e Ingresos
E00000085,72,M,primaria,5,soltero,TRUE,10,9,22,comercio minorista de productos terminados,2,2500,venta,en un cuaderno,no registro,s,FALSE,no me dan crédito,publicidad exterior,19.4048907,-99.08778686,Ventas e Ingresos,,trabajo crecer,Operación y Personal
E00000086,22,M,bachillerato terminado,22,union libre,FALSE,1,12,12,comercio minorista de materias primas,0,10,crecer negocio obtener venta ano venir,en un cuaderno,en excel,o,FALSE,no me dan crédito,publicidad exterior,19.57632509,-99.18190295,Ventas e Ingresos,,trabajador confianza,Operación y Personal
E00000087,52,H,secundaria,3,casado,TRUE,30,8,21,comercio minorista de materias primas,2,20,hija seguir negocio crecer tienda,en excel,en excel,o,FALSE,no me dan crédito,publicidad exterior,19.57372127,-99.18181899,Infraestructura y Expansión,,terminar trabajo,Operación y Personal
E00000088,42,M,secundaria,5,casado,FALSE,3,10,19,"servicios para el hogar (cerrajería, plomería, jardinería, etc)",0,4,crecer negocio,en un cuaderno,en un cuaderno,n,FALSE,no me dan crédito,publicidad exterior,19.58890167,-99.18237475,Expansión y Estructura,,terminar mercancia,Inversión y Producto
E00000089,28,M,bachillerato terminado,0,soltero,FALSE,0.6,9,22,comercio minorista de materias primas,0,15,cliente salud,no registro,no registro,o,FALSE,no me dan crédito,publicidad exterior,19.61037151,-99.17144236,Clientes y Marketing,,terminar limpiar rapido,Operación y Personal
E00000090,40,M,bachillerato trunco,2,viudo,FALSE,3,9,22,"servicios para el hogar (cerrajería, plomería, jardinería, etc)",0,12,cliente crecer negocio,en un cuaderno,en un cuaderno,o,FALSE,no me dan crédito,publicidad exterior,19.56615942,-99.15174975,Clientes y Marketing,,tenerla surtido,Inversión y Producto
E00000091,32,H,bachillerato terminado,0,soltero,FALSE,15,7,18,negocio mercantil con giro comercial en venta de tortillas,0,80,trabajo subir ultimamente bajo venta,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.61850551,-99.18754127,Ventas e Ingresos,,tener posibilidad invertir mejor horno,Inversión y Producto
E00000092,39,H,bachillerato terminado,2,union libre,FALSE,2,11,19,comercio minorista de productos terminados,0,20,empezar conocer vecindario,no registro,no registro,n,FALSE,no me dan crédito,publicidad exterior,19.59339419,-99.16512408,Clientes y Promoción,,tener el surtido,Inversión y Producto
E00000093,31,H,universidad terminado,0,soltero,FALSE,2,12,20,comercio minorista de productos terminados,0,3,crecer negocio gente interesar,en un cuaderno,en un cuaderno,n,FALSE,no contesto,publicidad exterior|redes sociales (sin pagar),19.5886903,-99.18534139,Clientes y Promoción,,tener cliente,Clientes y Promoción
E00000094,35,M,secundaria,2,soltero,FALSE,3,7,18,comercio minorista de materias primas,0,20,empezar crecer negocio conocido,no registro,no registro,n,FALSE,no contesto,publicidad exterior,19.58697158,-99.17619057,Expansión y Estructura,,surtir negocio,Inversión y Producto
E00000095,27,H,secundaria,2,union libre,FALSE,7,8,18,comercio minorista de materias primas,1,6,trabajo crecer,en un cuaderno,en un cuaderno,n,FALSE,no contesto,publicidad exterior,19.59116127,-99.16745486,Operación y Personal,,surtir el,Inversión y Producto
E00000096,40,H,bachillerato terminado,3,casado,TRUE,25,8,20,comercio minorista de materias primas,1,30,cliente,en un cuaderno,en un cuaderno,n,FALSE,no contesto,publicidad exterior,19.60719078,-99.16649102,Clientes y Promoción,,surtido venta,Ventas e Ingresos
E00000097,55,H,secundaria,5,casado,TRUE,20,7,20,comercio minorista de productos terminados,2,35,seguir crecer,en excel,en excel,n,FALSE,no contesto,publicidad exterior,19.58736884,-99.17012135,Expansión y Estructura,,surtido,Inversión y Producto
E00000098,48,H,secundaria,3,casado,FALSE,10,8,21,pasteleria,0,4,pasteleer zona crecer,en un sistema especial,en un sistema especial,n,FALSE,no contesto,publicidad exterior,19.5815047,-99.17219783,Expansión y Estructura,,superarnos,Gestión y Estabilidad
E00000099,45,H,universidad terminado,3,casado,FALSE,2,8,20,comercio minorista de materias primas,0,30,producto negocio,no registro,no registro,n,FALSE,no contesto,publicidad exterior,19.58557705,-99.1826037,Inversión y Producto,,suficiencia economico,Gestión y Estabilidad
E00000100,36,H,secundaria,4,union libre,FALSE,1,7,19,comercio minorista de materias primas,0,12,crecer agrandar local,no registro,no registro,n,FALSE,no contesto,publicidad exterior,19.57053794,-99.19088989,Expansión y Estructura,,sucursal adicional,Expansión y Estructura
E00000101,49,H,bachillerato terminado,4,casado,FALSE,6,8,19,costurero,0,9,maquina mueble organizar,no registro,no registro,n,FALSE,no contesto,publicidad exterior,19.58750331,-99.17168289,Inversión y Producto,,subir precio,Ventas e Ingresos
